id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
57;LOL;requests;1566789028.875951;-0.21142292022705078;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0120890/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0120890/;3871;404;True;
58;LOL;requests;1566789029.5939379;-0.20940208435058594;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0107943/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0107943/;3921;404;True;
59;LOL;requests;1566789030.3084779;-0.21116900444030762;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt3544082/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt3544082/;3938;404;True;
60;LOL;requests;1566789031.021953;-0.4183800220489502;https://www.imdb.com//title/tt1047540/vote?v=X;k=;https://www.imdb.com/status/404?v=X&k=;3881;404;True;
61;LOL;requests;1566789031.945778;-0.417830228805542;https://www.imdb.com//title/tt0080057/vote?v=X;k=;https://www.imdb.com/status/404?v=X&k=;3905;404;True;
62;LOL;requests;1566789032.865698;-0.21460676193237305;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt1853728/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt1853728/;3921;404;True;
63;LOL;requests;1566789033.583581;-0.2136218547821045;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt1972571/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt1972571/;3871;404;True;
64;LOL;requests;1566789034.300025;-0.2141101360321045;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0425061/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0425061/;3938;404;True;
65;LOL;requests;1566789035.021694;-1.0196120738983154;https://www.imdb.com//title/tt0116999/;https://www.imdb.com//title/tt0116999/;217357;200;True;
66;LOL;requests;1566789036.734504;-0.2377300262451172;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0071402/;https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com/https://www.imdb.com//title/tt0071402/;3905;404;True;
